kabupaten,bulan,tahun,alokasi_urea,distribusi_urea,alokasi_NPK,distribusi_NPK,curah_hujan,suhu,luas_panen_padi,produksi_padi_ton,luas_panen_jagung,produksi_jagung_ton,luas_panen_kedelai,produksi_kedelai_ton,bulan_num,rasio_realisasi_urea,rasio_realisasi_NPK,produktivitas_padi,produktivitas_jagung,produktivitas_kedelai,luas_panen_total,produksi_total_ton,tipe_wilayah_encoded,kuartal,kabupaten_encoded
Bojonegoro,Maret,2024,35284,6652.6,21500,3854.7,9.17,26.96,8194,46623,4463,28340,24.67,40.23,3,0.18854438272304727,0.17928837209302326,5.689895045154992,6.349988796773471,1.630725577624645,12681.67,75003.23,0,1,59115.90583333333
Bojonegoro,April,2024,60300,11332.3,45946,6744.4,9.12,27.12,8194,46541,2746,17328,41.97,68.43,4,0.18793200663349915,0.1467897096591651,5.679887722723945,6.310269482884195,1.6304503216583275,10981.97,63937.43,0,2,59115.90583333333
Bojonegoro,Mei,2024,60300,17926.4,45946,10784.3,1.43,27.84,5159,29251,3227,20299,93.02,151.68,5,0.29728689883913767,0.2347168415095982,5.6698972669121925,6.290362565850636,1.6306170715975061,8479.02,49701.68,0,2,59115.90583333333
Bojonegoro,Juni,2024,60300,21960.5,45946,13523.0,1.71,27.35,5159,29199,3932,25006,167.82,273.63,6,0.36418739635157543,0.2943237713837984,5.659817794146153,6.359613428280773,1.6304969610296747,9258.82,54478.63,0,2,59115.90583333333
Bojonegoro,Juli,2024,60300,26220.8,45946,16718.3,0.43,27.45,5159,29148,3106,19690,237.7,404.22,7,0.4348391376451078,0.3638684542724067,5.649932157394844,6.339343206696716,1.7005469078670594,8502.7,49242.22,0,3,59115.90583333333
Bojonegoro,Agustus,2024,60300,29820.7,45946,19932.4,0.2,27.95,5159,29096,2867,17861,281.81,479.22,8,0.4945389718076285,0.43382231315021985,5.639852684628804,6.229856993372864,1.700507434086796,8307.81,47436.22,0,3,59115.90583333333
Bojonegoro,September,2024,60300,34409.3,45946,24032.5,2.14,28.68,8194,46132,3196,19815,382.58,650.59,9,0.5706351575456053,0.5230596787533192,5.629973151086161,6.199937421777221,1.7005332218098177,11772.58,66597.59,0,3,59115.90583333333
Bojonegoro,Oktober,2024,62239,40950.7,46674,29940.9,2.28,29.22,8194,46050,2722,17338,243.63,414.31,10,0.6579588360995516,0.6414899087286284,5.619965828655113,6.369581190301249,1.7005705372901532,11159.63,63802.31,0,4,59115.90583333333
Bojonegoro,November,2024,62239,49786.0,46674,37432.8,12.24,27.42,6676,37452,2405,15032,82.88,135.13,11,0.7999164510997927,0.802005399151562,5.609946075494308,6.25031185031185,1.6304295366795367,9163.88,52619.13,0,4,59115.90583333333
Bojonegoro,Desember,2024,62239,60178.0,46674,45526.5,17.24,26.37,6676,37385,2421,15349,8.53,13.65,12,0.9668857147447741,0.9754145777092171,5.599910125823847,6.3399421726559275,1.6002344665885113,9105.53,52747.65,0,4,59115.90583333333
Bondowoso,Januari,2023,31779,3494.8,17355,1346.8,7.74,24.56,4400,23496,1910,11309,0.87,1.37,1,0.10997199408414363,0.07760299625468164,5.34,5.9209424083769635,1.574712643678161,6310.87,34806.37,0,1,35250.23333333333
Bondowoso,Februari,2023,31779,5867.6,17355,2774.4,19.31,24.16,4400,23452,3393,20255,0.9,1.43,2,0.18463765379653233,0.1598617113223855,5.33,5.969643383436487,1.5888888888888888,7793.9,43708.43,0,1,35250.23333333333
Bondowoso,Maret,2023,31779,8037.8,17355,4134.2,6.1,24.63,5400,28728,2703,16324,1.39,2.25,3,0.25292803423644544,0.2382137712474791,5.32,6.03921568627451,1.6187050359712232,8104.39,45054.25,0,1,35250.23333333333
Bondowoso,April,2023,31779,10306.9,17355,5386.3,4.55,24.88,5400,28673,1664,9982,2.37,3.82,4,0.32433053274174767,0.31036012676462116,5.309814814814815,5.998798076923077,1.611814345991561,7066.37,38658.82,0,2,35250.23333333333
